Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price.1	Commission	Taxes	Swap	Profit
287182218	2025.11.10 13:55	1	0.01	XAUUSD	4111.858	0.0	0.0	2025.11.10 13:55	4112.008	0.0	0.0	0.0	-0.15
287184253	2025.11.10 13:58	1	0.01	XAUUSD	4113.336	0.0	0.0	2025.11.10 13:58	4113.486	0.0	0.0	0.0	-0.15
287185120	2025.11.10 14:00	1	0.01	XAUUSD	4113.453	0.0	0.0	2025.11.10 14:00	4113.864	0.0	0.0	0.0	-0.41
287187111	2025.11.10 14:03	1	0.01	XAUUSD	4113.291	0.0	0.0	2025.11.10 14:03	4113.413	0.0	0.0	0.0	-0.12
287188174	2025.11.10 14:05	1	0.01	XAUUSD	4113.573	0.0	0.0	2025.11.10 14:05	4113.723	0.0	0.0	0.0	-0.15
287190532	2025.11.10 14:08	1	0.01	XAUUSD	4113.653	0.0	0.0	2025.11.10 14:09	4113.79	0.0	0.0	0.0	-0.14
287191021	2025.11.10 14:10	1	0.01	XAUUSD	4114.1410000000005	0.0	0.0	2025.11.10 14:10	4114.464	0.0	0.0	0.0	-0.32
287193071	2025.11.10 14:13	1	0.01	XAUUSD	4112.098	0.0	0.0	2025.11.10 14:13	4112.248	0.0	0.0	0.0	-0.15
287196765	2025.11.10 14:18	1	0.01	XAUUSD	4108.1230000000005	0.0	0.0	2025.11.10 14:18	4107.967	0.0	0.0	0.0	0.15
287361914	2025.11.10 18:50	1	0.01	XAUUSD	4130.948	0.0	0.0	2025.11.10 18:50	4131.098	0.0	0.0	0.0	-0.15
287367200	2025.11.10 18:55	1	0.01	XAUUSD	4133.383	0.0	0.0	2025.11.10 18:55	4133.533	0.0	0.0	0.0	-0.15
287372834	2025.11.10 19:00	1	0.01	XAUUSD	4132.25	0.0	0.0	2025.11.10 19:01	4132.91	0.0	0.0	0.0	-0.66
287380694	2025.11.10 19:05	1	0.01	XAUUSD	4130.722	0.0	0.0	2025.11.10 19:05	4130.836	0.0	0.0	0.0	-0.12
287416899	2025.11.10 19:31	0	0.01	XAUUSD	4137.843	0.0	0.0	2025.11.10 19:36	4138.73	0.0	0.0	0.0	0.89
287524462	2025.11.10 21:11	0	0.01	XAUUSD	4142.7080000000005	0.0	0.0	2025.11.10 21:13	4142.458	0.0	0.0	0.0	-0.25
287529552	2025.11.10 21:16	0	0.01	XAUUSD	4145.184	0.0	0.0	2025.11.10 21:16	4144.865	0.0	0.0	0.0	-0.31
287648710	2025.11.10 23:38	1	0.01	XAUUSD	4127.161	0.0	0.0	2025.11.10 23:39	4127.443	0.0	0.0	0.0	-0.28
287786532	2025.11.11 03:05	0	0.01	XAUUSD	4141.768	0.0	0.0	2025.11.11 03:06	4141.328	0.0	0.0	0.0	-0.44
287790336	2025.11.11 03:10	0	0.01	XAUUSD	4143.504	0.0	0.0	2025.11.11 03:11	4143.071	0.0	0.0	0.0	-0.43
288403756	2025.11.11 13:15	0	0.01	XAUUSD	4117.776	0.0	0.0	2025.11.11 13:15	4117.376	0.0	0.0	0.0	-0.4
288579852	2025.11.11 17:14	0	0.01	XAUUSD	4133.114	0.0	0.0	2025.11.11 17:18	4135.017	0.0	0.0	0.0	1.9100000000000001
288588496	2025.11.11 17:24	0	0.01	XAUUSD	4136.881	0.0	0.0	2025.11.11 17:28	4137.79	0.0	0.0	0.0	0.91
288602839	2025.11.11 17:39	0	0.01	XAUUSD	4141.307	0.0	0.0	2025.11.11 17:43	4143.17	0.0	0.0	0.0	1.8599999999999999
288825999	2025.11.11 20:46	1	0.01	XAUUSD	4124.553	0.0	0.0	2025.11.11 23:30	4103.158	0.0	0.0	0.0	21.39
289050634	2025.11.12 00:46	1	0.13	XAUUSD	4116.119	0.0	0.0	2025.11.12 00:51	4113.875	0.0	0.0	0.0	29.17
289143836	2025.11.12 09:10	0	0.12	XAUUSD	4146.769	0.0	0.0	2025.11.12 09:17	4171.198	0.0	0.0	0.0	293.15
289143908	2025.11.12 09:10	0	0.12	XAUUSD	4146.769	0.0	0.0	2025.11.12 09:17	4171.198	0.0	0.0	0.0	293.15
290181417	2025.11.12 18:12	1	0.12	XAUUSD	4187.24	0.0	0.0	2025.11.12 18:35	4201.144	0.0	0.0	0.0	-166.85
290783251	2025.11.13 00:49	0	0.12	XAUUSD	4207.479	0.0	0.0	2025.11.13 00:55	4211.362	0.0	0.0	0.0	46.59
290783252	2025.11.13 08:30	1	0.12	XAUUSD	4206.817	0.0	0.0	2025.11.13 08:38	4219.806	0.0	0.0	0.0	-155.87
291756789	2025.11.13 11:33	0	0.09	XAUUSD	4204.561	0.0	0.0	2025.11.13 11:38	4204.818	0.0	0.0	0.0	2.31
291756792	2025.11.13 11:36	1	0.09	XAUUSD	4203.449	0.0	0.0	2025.11.13 11:44	4200.801	0.0	0.0	0.0	23.83
291915055	2025.11.13 12:57	1	0.06	XAUUSD	4153.587	0.0	0.0	2025.11.13 13:04	4150.012	0.0	0.0	0.0	21.45
291915044	2025.11.13 12:58	0	0.06	XAUUSD	4154.699	0.0	0.0	2025.11.13 17:07	4179.971	0.0	0.0	0.0	151.64
292249266	2025.11.13 17:52	0	0.12	XAUUSD	4186.329	0.0	0.0	2025.11.13 18:22	4188.655	0.0	0.0	0.0	27.91
292263836	2025.11.13 18:10	0	0.12	XAUUSD	4185.124	0.0	0.0	2025.11.13 18:13	4185.7	0.0	0.0	0.0	6.91
292471316	2025.11.13 20:12	0	0.08	XAUUSD	4194.546	0.0	0.0	2025.11.13 20:22	4196.207	0.0	0.0	0.0	13.29
292449392	2025.11.13 20:12	0	0.08	XAUUSD	4193.901	0.0	0.0	2025.11.13 20:22	4196.297	0.0	0.0	0.0	19.17
292494066	2025.11.13 20:27	0	0.09	XAUUSD	4202.193	0.0	0.0	2025.11.13 20:32	4203.494	0.0	0.0	0.0	11.71
292502091	2025.11.13 20:33	0	0.09	XAUUSD	4204.12	0.0	0.0	2025.11.13 20:54	4207.968	0.0	0.0	0.0	34.63
292527012	2025.11.13 20:52	0	0.11	XAUUSD	4208.662	0.0	0.0	2025.11.13 21:27	4209.496	0.0	0.0	0.0	9.18
292692393	2025.11.13 23:12	1	0.15	XAUUSD	4192.703	0.0	0.0	2025.11.13 23:17	4186.602	0.0	0.0	0.0	91.52
292701483	2025.11.13 23:17	1	0.13	XAUUSD	4186.01	0.0	0.0	2025.11.13 23:27	4186.0470000000005	0.0	0.0	0.0	-0.48
292783581	2025.11.14 00:23	1	0.1	XAUUSD	4181.477	0.0	0.0	2025.11.14 00:32	4177.778	0.0	0.0	0.0	36.99
292788603	2025.11.14 00:27	1	0.11	XAUUSD	4177.299	0.0	0.0	2025.11.14 00:47	4177.111	0.0	0.0	0.0	2.07
292849197	2025.11.14 01:22	1	0.1	XAUUSD	4164.586	0.0	0.0	2025.11.14 01:27	4162.28	0.0	0.0	0.0	23.06
292916123	2025.11.14 02:38	0	0.09	XAUUSD	4186.663	0.0	0.0	2025.11.14 03:04	4169.043	0.0	0.0	0.0	-158.58
292942229	2025.11.14 03:02	0	0.09	XAUUSD	4172.604	0.0	0.0	2025.11.14 03:07	4174.099	0.0	0.0	0.0	13.45
292992222	2025.11.14 04:13	1	0.11	XAUUSD	4165.713	0.0	0.0	2025.11.14 05:54	4136.834	0.0	0.0	0.0	317.67
293684056	2025.11.14 10:42	0	0.06	XAUUSD	4110.15	0.0	0.0	2025.11.14 12:22	4081.815	0.0	0.0	0.0	-170.01
293706813	2025.11.14 11:02	0	0.07	XAUUSD	4104.767	0.0	0.0	2025.11.14 11:32	4105.111	0.0	0.0	0.0	2.41
293975162	2025.11.14 14:16	1	0.11	XAUUSD	4086.377	0.0	0.0	2025.11.14 14:22	4077.874	0.0	0.0	0.0	93.54
293975157	2025.11.14 14:17	0	0.11	XAUUSD	4087.039	0.0	0.0	2025.11.14 14:37	4091.916	0.0	0.0	0.0	53.65
293992184	2025.11.14 14:27	0	0.11	XAUUSD	4076.746	0.0	0.0	2025.11.14 14:31	4082.981	0.0	0.0	0.0	68.58
293990171	2025.11.14 14:28	0	0.11	XAUUSD	4079.831	0.0	0.0	2025.11.14 14:31	4082.949	0.0	0.0	0.0	34.3
294994184	2025.11.16 18:00	1	0.07	XAUUSD	4095.318	0.0	0.0	2025.11.16 18:11	4087.652	0.0	0.0	0.0	53.67
295015247	2025.11.16 18:11	1	0.06	XAUUSD	4087.636	0.0	0.0	2025.11.16 18:16	4085.324	0.0	0.0	0.0	13.88
295015245	2025.11.16 18:12	0	0.06	XAUUSD	4088.448	0.0	0.0	2025.11.16 18:31	4088.702	0.0	0.0	0.0	1.52
295041044	2025.11.16 18:28	0	0.09	XAUUSD	4087.032	0.0	0.0	2025.11.16 18:31	4088.656	0.0	0.0	0.0	14.61
294994180	2025.11.16 19:12	0	0.07	XAUUSD	4095.98	0.0	0.0	2025.11.16 19:36	4100.343	0.0	0.0	0.0	30.54
295874575	2025.11.17 05:04	0	0.11	XAUUSD	4062.859	0.0	0.0	2025.11.17 05:11	4070.819	0.0	0.0	0.0	87.56
296470883	2025.11.17 11:33	0	0.12	XAUUSD	4081.059	0.0	0.0	2025.11.17 12:51	4066.984	0.0	0.0	0.0	-168.9
296595327	2025.11.17 13:02	1	0.15	XAUUSD	4060.559	0.0	0.0	2025.11.17 13:07	4058.927	0.0	0.0	0.0	24.48
296639930	2025.11.17 13:32	1	0.12	XAUUSD	4050.099	0.0	0.0	2025.11.17 13:37	4036.993	0.0	0.0	0.0	157.27
296671024	2025.11.17 13:42	1	0.09	XAUUSD	4023.738	0.0	0.0	2025.11.17 13:57	4012.242	0.0	0.0	0.0	103.46
296701596	2025.11.17 13:57	1	0.07	XAUUSD	4011.48	0.0	0.0	2025.11.17 14:50	4035.358	0.0	0.0	0.0	-167.15
296838680	2025.11.17 15:46	0	0.15	XAUUSD	4044.098	0.0	0.0	2025.11.17 15:49	4044.509	0.0	0.0	0.0	6.17
